cat_code,category1,category2,category3,category4,std_6,growth_rate_6,std_12,growth_rate_12,std_24,growth_rate_24,std_36,growth_rate_36,analyze_date,
50002457,식품,축산물,알류,훈제란,30.376368314890414,-3.45018452991453,23.578686848642498,-0.0094831349782292,19.305629826593577,0.2896523787474662,16.507202938231288,0.17444119340614184,2023-07-13,
50000280,식품,축산,양고기,,33.97904836105322,-3.7957561675213682,25.374405368828942,-0.4927549603005207,21.852198997565047,0.3121187098047584,19.23952528324108,0.21875618855399792,2023-07-13,
50000280,식품,축산물,양고기,,33.97904836105322,-3.7957561675213682,25.374405368828942,-0.4927549603005207,21.852198997565047,0.3121187098047584,19.23952528324108,0.21875618855399792,2023-07-13,
50000279,식품,축산,오리고기,,,,,,15.460612825518362,0.18920139511981632,15.142493438316183,0.22057009309791348,2023-07-13,
50004661,식품,축산,축산가공식품,갈비찜,26.107390110981992,-2.8084121299145304,22.24468886480564,-0.014383846153845987,17.55042271266168,0.14923923012909424,15.66925893438214,0.11185040127388537,2023-07-13,
50004681,식품,축산,축산가공식품,기타육가공,24.709421014200398,-2.631465729914529,19.714198462059294,-0.6361139054896265,19.757251879725224,-0.29271451392297,17.47080523200713,-0.01410873735202544,2023-07-13,
50004681,식품,축산물,축산가공식품,기타육가공,24.709421014200398,-2.631465729914529,19.714198462059294,-0.6361139054896265,19.757251879725224,-0.29271451392297,17.47080523200713,-0.01410873735202544,2023-07-13,
50004679,식품,축산,축산가공식품,닭가공품,19.925996327408455,-1.0233919122807025,19.054273006830776,-0.4183536295546556,33.89685116267479,-1.0426254897276634,28.700896641154618,-0.41194747632062745,2023-07-13,
50004666,식품,축산,축산가공식품,닭양념육,25.495097567963924,4.718447854656915e-15,22.495674324674052,1.8382352941176472,34.42566108728141,-1.398332440507668,26.473908323294243,-0.3510086521891013,2023-07-13,
50004662,식품,축산,축산가공식품,돈가스,19.469665774984144,-1.8805996752136749,15.343016716890293,-0.04988618159310154,11.878425823977272,-0.07517236823855725,12.407533510646108,0.08301996521313078,2023-07-13,
50004662,식품,축산물,축산가공식품,돈가스,19.469665774984144,-1.8805996752136749,15.343016716890293,-0.04988618159310154,11.878425823977272,-0.07517236823855725,12.407533510646108,0.08301996521313078,2023-07-13,
50004663,식품,축산,축산가공식품,돈육훈제,,,,,11.928259903544108,0.12242736185578251,11.827241460000492,0.014528028069309293,2023-07-13,
50004663,식품,축산물,돼지고기,돈육훈제,,,,,11.928259903544108,0.12242736185578251,11.827241460000492,0.014528028069309293,2023-07-13,
50004664,식품,축산,축산가공식품,돼지양념육,,,23.570226039551585,24.999999999999993,27.860700434552385,-0.7351371409749674,20.471223552836808,-0.058005971886176996,2023-07-13,
50004668,식품,축산물,축산가공식품,떡갈비,14.55686513475906,-1.1815645333333324,13.073691853481707,-0.13844958891829573,12.220946302719222,0.08135351627013768,12.501202059067504,0.0572587708112721,2023-07-13,
50004668,식품,축산,쇠고기,떡갈비,14.55686513475906,-1.1815645333333324,13.073691853481707,-0.13844958891829573,12.220946302719222,0.08135351627013768,12.501202059067504,0.0572587708112721,2023-07-13,
50004669,식품,축산,축산가공식품,베이컨,9.241820944047175,-0.9504535247863242,8.882416259668675,-0.0037963617348242273,8.8114714180459,-0.07667025125360093,10.03271991608871,-0.108997410298557,2023-07-13,
50004669,식품,축산물,축산가공식품,베이컨,9.241820944047175,-0.9504535247863242,8.882416259668675,-0.0037963617348242273,8.8114714180459,-0.07667025125360093,10.03271991608871,-0.108997410298557,2023-07-13,
50004678,식품,축산,축산가공식품,삼계탕,19.49795532518551,1.664819056410257,19.00490012419482,0.0525711555536586,16.014341270037406,0.04186820505707891,15.760547701865585,0.034733483523257065,2023-07-13,
50004678,식품,축산물,축산가공식품,삼계탕,19.49795532518551,1.664819056410257,19.00490012419482,0.0525711555536586,16.014341270037406,0.04186820505707891,15.760547701865585,0.034733483523257065,2023-07-13,
